ta_year,month,day,description
3018,4,12,Gandalf arrives in Hobbiton to warn Frodo
3018,6,20,"Sauron’s assault on Osgiliath. Thranduli’s halls are are attacked, allowing Gollum to escape."
3018,7,4,Boromir rides from Minas Tirith toward Rivendell.
3018,7,10,Gandalf is held captive by Saruman in Orthanc.
3018,9,18,"Gandalf escapes Saruman’s captivity in Orthanc before dawn, the Black Riders cross over the Fords of Isen."
3018,9,19,"Gandalf, arriving as a beggar, is refused entry to Edoras."
3018,9,20,"Gandalf enters Edoras, but is commanded by King Theoden to take any horse and leave."
3018,9,21,"Shadowfax will not permit Gandalf to approach him, so Gandalf follows him over the fields of Rohan."
3018,9,22,"Gandalf passes Shadowfax. The Black Riders arrive at Sarn Ford in the evening and drive off the Rangers. The hundred and twenty-eighth birthday of Bilbo, and fiftieth birthday of Frodo."
3018,9,23,"Gandalf rides a tamed Shadowfax from Rohan. Four of the Black Riders pass into the Shire ere dawn, and the rest pursue the Rangers to the east before returning to watch the Greenway. One enters Hobbiton at sundown. Frodo departs Bag End at night, beginning his journey."
3018,9,24,"Gandalf crosses over the River Isen. Frodo and company cross paths with two Black Riders, and spend the night with Gildor and the High Elves near the Woody End."
3018,9,25,"Frodo and company pass through Farmer Maggot’s farm, cross over the Brandywine River, and arrive at Crickhollow at night."
3018,9,26,Frodo and company pass through the Old Forest and meet Tom Bombadil.
3018,9,27,"Gandalf crosses over the Greyflood, and Frodo and company spends a second night with Tom Bombadil."
3018,9,28,"Gandalf arrives at Sarn Ford, and Frodo and company are taken captive by a Barrow-wight."
3018,9,29,"Gandalf speaks with the Gaffer, and Frodo and company arrive at Bree in the evening."
3018,9,30,"Both Crickhollow and the Prancing Pony Inn at Bree are raided by Black Riders before dawn. Frodo and company depart Bree, and Gandalf arrives at Crickhollow before making it to Bree after sundown."
3018,10,1,Gandalf departs from Bree.
3018,10,3,Gandalf is attacked on Weathertop at night by Black Riders.
3018,10,6,Frodo and company’s camp beneath Weathertop is attacked at night. Frodo is wounded by the Witch-King’s with a Morgul-knife.
3018,10,9,Glorfindel departs Rivendell.
3018,10,11,Glorfindel drives the Black Riders from the the Last Bridge.
3018,10,13,Frodo and company pass over the the Last Bridge.
3018,10,18,"Glorfindel finds Frodo and company at dusk, and Gandalf arrives in Rivendell."
3018,10,20,Glorfindel and Frodo escape over the Ford of Bruinen.
3018,10,24,"Frodo recovers and awakes in Rivendell, and Boromir arrives in Rivendell after sunset."
3018,10,25,The Council of Elrond is held to decide what to do with the Ring.
3018,10,26,Elrond sends scouts from Rivendell to learn of the Black Riders.
3018,12,18,The Fellowship of the Ring are chosen.
3018,12,25,The Fellowship depart Rivendell at dusk.
3019,1,8,The Fellowship come to Hollin.
3019,1,11,The Fellowship face snow on the Redhorn Pass beneath Mount Caradhras.
3019,1,12,The Fellowship are turned back by the snow on the Redhorn Pass.
3019,1,13,"The Fellowship are attacked by Wolves before sunrise, and arrive at the West-gate of Moria at sunset. Gollum begins to follow Frodo."
3019,1,14,The Fellowship spend the night in Hall Twenty-One of Khazad-dûm.
3019,1,15,"The Fellowship cross the Bridge of Khazad-dûm, with Gandalf and the Balrog falling into the abyss below. The Fellowship reach Nimrodel long after sunset."
3019,1,17,The Fellowship are brought to Caras Galadhon in the evening.
3019,1,23,Gandalf pursues the Balrog up the Endless Stair to the very peak of Zirak-zigil.
3019,1,25,"Gandalf defeats the Balrog and casts it down. He passes away, and his body lies on the peak of Zirak-zigil."
3019,2,14,"Frodo and Sam look into the Mirror of Galadriel. Gandalf returns to life, and lies on the peak of Zirak-zigil in a trance."
3019,2,16,"The Fellowship bid farewell to Lórien, and Gollum observes their departure from hiding on the west bank."
3019,2,17,"Gwaihir, lord of the Great Eagles, carries Gandalf to Lórien."
3019,2,23,The Fellowship’s boats are attacked after dark near Sarn Gebir.
3019,2,25,The Fellowship pass the Argonath and make camp at Parth Galen. Théodred son of Théoden is slain during the First Battle of the Fords of Isen.
3019,2,26,"Frodo looks from the Seat of Seeing atop Amon Hen. The Breaking of the Fellowship. Boromir is slain by many arrows, and his horn is heard in Minas Tirith. Merry and Pippin are captured by Orcs, and Frodo and Sam pass into the eastern Emyn Muil. The Three Hunters Aragorn, Legolas, and Gimli, begin their pursuit of the Orcs by evening. Éomer learns of the Orcs descending from the Emyn Muil."
